"10.1152/jn.2001.85.1.219",,,"https://journals.physiology.org/doi/abs/10.1152/jn.2001.85.1.219","https://journals.physiology.org/doi/pdf/10.1152/jn.2001.85.1.219","Effect of attentive fixation in macaque thalamus and cortex"
"10.1016/j.neuroimage.2006.07.032",,,"https://www.sciencedirect.com/science/article/pii/S1053811906007609",,"Distribution of the dopamine innervation in the macaque and human thalamus"
"10.1523/JNEUROSCI.14-05-02485.1994",,,"https://www.jneurosci.org/content/14/5/2485.short","https://www.jneurosci.org/content/jneuro/14/5/2485.full.pdf","Medial lemniscal and spinal projections to the macaque thalamus: an electron microscopic study of differing GABAergic circuitry serving thalamic somatosensory …"
,,,"https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.903130106","https://onlinelibrary.wiley.com/doi/pdf/10.1002/cne.903130106","Diverse thalamic projections to the prefrontal cortex in the rhesus monkey"
"10.1152/jn.2001.85.1.219",,,"https://journals.physiology.org/doi/abs/10.1152/jn.2001.85.1.219","https://journals.physiology.org/doi/pdf/10.1152/jn.2001.85.1.219","Effect of attentive fixation in macaque thalamus and cortex"
"10.1016/j.neuroimage.2006.07.032",,,"https://www.sciencedirect.com/science/article/pii/S1053811906007609",,"Distribution of the dopamine innervation in the macaque and human thalamus"
"10.1523/JNEUROSCI.14-05-02485.1994",,,"https://www.jneurosci.org/content/14/5/2485.short","https://www.jneurosci.org/content/jneuro/14/5/2485.full.pdf","Medial lemniscal and spinal projections to the macaque thalamus: an electron microscopic study of differing GABAergic circuitry serving thalamic somatosensory …"
"10.1002/cne.903130106",,,"https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.903130106","https://onlinelibrary.wiley.com/doi/pdf/10.1002/cne.903130106","Diverse thalamic projections to the prefrontal cortex in the rhesus monkey"
"10.1038/372770a0",,,"https://www.nature.com/articles/372770a0","https://www.nature.com/articles/372770a0.pdf","A thalamic nucleus specific for pain and temperature sensation"
,,,,"https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=086111ccf8db5585f16a54ba754ea75ebac97d6c","Connexions of the somatic sensory cortex of the rhesus monkey: III.—thalamic connexions"
"10.1002/(sici)1096-9861(19981019)400:2<271::aid-cne8>3.0.co;2-6",,,"https://onlinelibrary.wiley.com/doi/abs/10.1002/(SICI)1096-9861(19981019)400:2%3C271::AID-CNE8%3E3.0.CO;2-6","https://onlinelibrary.wiley.com/doi/pdf/10.1002/(SICI)1096-9861(19981019)400:2%3C271::AID-CNE8%3E3.0.CO;2-6","Thalamocortical connections of the parabelt auditory cortex in macaque monkeys"
"10.1002/(sici)1096-9861(19960812)372:1<59::aid-cne6>3.0.co;2-l",,,"https://onlinelibrary.wiley.com/doi/abs/10.1002/(SICI)1096-9861(19960812)372:1%3C59::AID-CNE6%3E3.0.CO;2-L","https://onlinelibrary.wiley.com/doi/pdf/10.1002/(SICI)1096-9861(19960812)372:1%3C59::AID-CNE6%3E3.0.CO;2-L","Thalamic input to mesial and superior area 6 in the macaque monkey"
"10.1016/0165-0173(96)00003-3",,,"https://www.sciencedirect.com/science/article/pii/0165017396000033",,"The primate motor thalamus"
